59295,30
59048,100
152693,100
152990,90
169257,90
151967,30
153112,60
150559,100
150526,90
150543,100
150565,100
150558,100
150529,100
150548,90
150549,80
150550,90
150554,90
150540,100
150564,100
150541,90
150538,90
150531,100
150530,100
150536,100
150521,100
150522,100
140447,30
130862,100
152992,100
152976,90
152979,100
142572,30
142539,40
142587,100
152528,100
152524,100
152588,50
142590,90
152546,100
142549,100
152636,100
151308,70
151342,90
129055,100
152569,70
151669,90
151305,40
141780,90
151319,40
149315,100
142446,60
142436,60
140430,80
169243,100
150528,90
143374,90
142682,100
149312,80
152689,100
152661,100
152704,100
152662,100
151183,100
152725,90
152731,100
151192,100
151195,90
151177,60
151186,90
151197,100
151182,90
151176,100
152771,100
151628,100
152540,90
142269,100
151595,90
153072,90
149652,90
141456,100
140416,100
152573,90
151566,100
141464,90
119282,100
151175,80
151196,70
150065,90
140061,90
140078,100
150080,100
150170,80
150158,60
140161,100
140070,90
140076,30
140089,100
150175,80
140147,100
140169,100
140177,100
140159,90
140165,90
140164,90
150164,80
140170,90
140153,90
150063,100
101010799,40
101006968,60
151202,90
151172,100
151181,100
151213,90
151210,90
151212,90
151299,60
151184,80
151164,100
151179,60
101011185,60
101002576,20
101010049,70
151190,30
151191,10
151189,90
150078,100
140187,100
152490,50
152972,90
152977,90
152961,80
152960,100
152963,100
152967,80
152986,90
152987,80
152995,90
152996,90
152980,80
153007,100
153005,90
153008,90
153013,90
153012,100
153024,90
153022,80
153028,70
153027,100
153031,70
153036,90
153045,90
153043,80
153889,90
153887,90
153891,90
153910,70
153871,70
153934,80
153869,80
152981,80
140411,90
142676,50
151571,100
142644,90
159110,100
151516,100
151565,90
152841,70
152830,100
152823,90
152842,60
152824,90
152835,80
152829,60
152837,80
152817,100
151518,80
152832,100
142615,100
152833,90
152828,100
142639,80
152831,80
152818,100
152838,80
152811,60
152848,70
152820,90
142671,90
141313,50
142630,100
141317,80
152815,70
139421,80
142668,50
159230,90
159224,50
141124,90
152834,80
152814,100
142627,100
142695,80
142679,50
152822,90
142642,50
142621,100
142685,90
141318,100
152840,90
142706,100
151339,60
142677,100
141304,30
141301,100
142673,30
141297,70
142667,90
142660,80
150579,60
150816,40
150841,80
150819,60
142629,80
150824,70
150574,70
150878,90
150833,100
150804,80
150720,100
150883,90
150803,70
150882,100
150607,50
150632,100
142689,90
150602,100
150832,70
150830,40
150711,100
150800,80
140557,50
150811,90
150598,100
150844,100
150592,100
150812,60
150594,90
150584,100
150587,100
142691,70
150708,100
142623,80
150825,30
150807,40
150617,100
142625,100
150601,100
142662,60
150626,100
142634,80
150806,20
150835,50
142614,100
142684,60
142701,100
142663,60
142656,80
142635,60
142616,40
152763,100
142675,50
142638,60
150603,100
150596,90
150589,100
142617,90
142646,80
142683,80
150627,100
152720,90
142651,30
151509,70
150600,100
150880,80
159111,100
131452,90
150809,100
142680,90
140750,100
151084,100
150822,100
150628,100
150622,100
142700,80
150618,100
150590,100
150707,90
142650,30
150609,90
150886,40
141015,100
142692,60
150585,100
142624,100
142699,100
142648,50
151479,70
142708,80
150599,100
142637,100
151316,50
150159,100
143120,90
169076,50
143121,90
142681,100
141531,60
151649,90
151799,50
142649,90
152722,90
141305,50
142653,40
101001679,50
141311,50
152581,60
141309,60
141292,90
141288,60
152734,100
152675,100
141300,60
152695,50
141316,80
142286,60
142696,80
142453,90
142641,90
142454,100
143008,50
150166,100
141310,80
152751,30
152387,50
131637,80
132552,80
151756,100
151787,40
151732,90
151722,100
151713,30
152743,100
151765,90
142693,90
151739,100
142703,80
151711,100
141452,90
151712,80
151738,80
151761,90
151808,40
151795,90
151797,90
151781,90
151779,50
151707,90
151783,80
151720,90
151803,100
151591,60
151735,50
151785,60
151796,100
151314,40
142647,100
142666,70
151741,70
151804,90
150868,100
151789,70
150444,50
142694,40
150456,80
150460,100
152309,100
151703,100
151725,70
151345,40
151716,70
151313,50
142657,90
152248,100
169035,100
142613,90
101007507,90
103006834,70
101008848,70
101004461,90
101010586,100
101006186,70
162872,100
132041,90
161528,100
160680,100
161553,100
152605,90
152532,100
161580,90
161750,100
150475,90
161581,100
